year,continent,income
1828,africa,661.5185185185185
1828,americas,1103.125
1828,asia,884.9166666666666
1828,europe,1469.5
1829,africa,664.0370370370371
1829,americas,1108.975
1829,asia,888.05
1829,europe,1479.2083333333333
1830,africa,664.8703703703703
1830,americas,1120.7
1830,asia,894.2833333333333
1830,europe,1480.4791666666667
1831,africa,665.8888888888889
1831,americas,1132.75
1831,asia,897.1333333333333
1831,europe,1494.7083333333333
1832,africa,668.0925925925926
1832,americas,1143.825
1832,asia,899.8166666666667
1832,europe,1513.0208333333333
1833,africa,670.3333333333334
1833,americas,1154.575
1833,asia,902.0833333333334
1833,europe,1523.3541666666667
1834,africa,672.6111111111111
1834,americas,1160.075
1834,asia,905.4833333333333
1834,europe,1538.0833333333333
1835,africa,674.8888888888889
1835,americas,1171.825
1835,asia,913.1166666666667
1835,europe,1553.7916666666667
1836,africa,677.2037037037037
1836,americas,1181.375
1836,asia,914.7
1836,europe,1564.1875
1837,africa,679.5185185185185
1837,americas,1188.5
1837,asia,918.4333333333333
1837,europe,1573.7916666666667
1838,africa,681.9074074074074
1838,americas,1196.85
1838,asia,920.2166666666667
1838,europe,1587.7291666666667
1839,africa,684.2037037037037
1839,americas,1209.25
1839,asia,920.25
1839,europe,1594.8541666666667
1840,africa,686.5925925925926
1840,americas,1216.1
1840,asia,930.3166666666667
1840,europe,1617.6666666666667
1841,africa,688.4814814814815
1841,americas,1223.95
1841,asia,928.9666666666667
1841,europe,1625.1458333333333
1842,africa,690.425925925926
1842,americas,1232.95
1842,asia,929.7
1842,europe,1628.7708333333333
1843,africa,692.5
1843,americas,1243.925
1843,asia,937.5333333333333
1843,europe,1641.3958333333333
1844,africa,694.1296296296297
1844,americas,1257.225
1844,asia,945.65
1844,europe,1663.9375
1845,africa,695.8333333333334
1845,americas,1268.55
1845,asia,951.05
1845,europe,1674.0625
1846,africa,697.574074074074
1846,americas,1279.35
1846,asia,959.6333333333333
1846,europe,1679.5625
1847,africa,699.4814814814815
1847,americas,1291.475
1847,asia,971.2666666666667
1847,europe,1695.5833333333333
1848,africa,702.9074074074074
1848,americas,1304.4
1848,asia,983.55
1848,europe,1694.3541666666667
1849,africa,706.425925925926
1849,americas,1314.425
1849,asia,987.9166666666666
1849,europe,1712.6458333333333
1850,africa,710.0185185185185
1850,americas,1326.225
1850,asia,989.9833333333333
1850,europe,1738.3125
1851,africa,717.2222222222222
1851,americas,1342.2
1851,asia,1005.0333333333333
1851,europe,1757.8541666666667
1852,africa,721.2777777777778
1852,americas,1356.525
1852,asia,1022.0166666666667
1852,europe,1783.8333333333333
1853,africa,726.3703703703703
1853,americas,1369.55
1853,asia,1034.4333333333334
1853,europe,1795.3958333333333
1854,africa,728.2407407407408
1854,americas,1380.125
1854,asia,1029.3333333333333
1854,europe,1812.625
1855,africa,733.3148148148148
1855,americas,1390.375
1855,asia,1031.1833333333334
1855,europe,1839.9375
1856,africa,729.5925925925926
1856,americas,1404.15
1856,asia,1052.9
1856,europe,1859.6041666666667
1857,africa,737.425925925926
1857,americas,1416.075
1857,asia,1048.8833333333334
1857,europe,1875.2708333333333
1858,africa,736.2962962962963
1858,americas,1430.9
1858,asia,1044.8666666666666
1858,europe,1898.1458333333333
1859,africa,740.074074074074
1859,americas,1445.175
1859,asia,1069.6
1859,europe,1904.6458333333333
1860,africa,744.1296296296297
1860,americas,1460.7
1860,asia,1074.8833333333334
1860,europe,1915.8125
1861,africa,745.2037037037037
1861,americas,1470.125
1861,asia,1079.2
1861,europe,1923.0208333333333
1862,africa,740.7222222222222
1862,americas,1482.925
1862,asia,1081.9166666666667
1862,europe,1945.1666666666667
1863,africa,745.0555555555555
1863,americas,1503.05
1863,asia,1087.2666666666667
1863,europe,1979.3333333333333
1864,africa,756.8148148148148
1864,americas,1521.025
1864,asia,1097.45
1864,europe,1992.6041666666667
1865,africa,751.7407407407408
1865,americas,1531.85
1865,asia,1098.6666666666667
1865,europe,2013.2083333333333
1866,africa,755.6481481481482
1866,americas,1545.575
1866,asia,1106.9166666666667
1866,europe,2030.0833333333333
1867,africa,763.425925925926
1867,americas,1562.625
1867,asia,1120.1
1867,europe,2019.3541666666667
1868,africa,767.0370370370371
1868,americas,1578.675
1868,asia,1127.7
1868,europe,2056.3125
1869,africa,770.1481481481482
1869,americas,1598.65
1869,asia,1131.75
1869,europe,2090.6666666666665
1870,africa,775.4444444444445
1870,americas,1606.65
1870,asia,1142.9
1870,europe,2111.625
1871,africa,779.1111111111111
1871,americas,1621.225
1871,asia,1149.65
1871,europe,2145.4791666666665
1872,africa,797.8518518518518
1872,americas,1665.125
1872,asia,1171.45
1872,europe,2179.25
1873,africa,794.8148148148148
1873,americas,1683.45
1873,asia,1193.1166666666666
1873,europe,2204.0
1874,africa,796.2592592592592
1874,americas,1670.575
1874,asia,1198.5333333333333
1874,europe,2246.7083333333335
1875,africa,804.3148148148148
1875,americas,1661.2
1875,asia,1210.7833333333333
1875,europe,2275.375
1876,africa,813.2592592592592
1876,americas,1670.95
1876,asia,1211.7666666666667
1876,europe,2287.1666666666665
1877,africa,813.9074074074074
1877,americas,1689.3
1877,asia,1228.2166666666667
1877,europe,2289.7708333333335
1878,africa,816.4629629629629
1878,americas,1702.775
1878,asia,1246.5666666666666
1878,europe,2304.2916666666665
1879,africa,825.3703703703703
1879,americas,1718.15
1879,asia,1234.2666666666667
1879,europe,2306.2083333333335
1880,africa,837.7962962962963
1880,americas,1751.1
1880,asia,1249.7333333333333
1880,europe,2358.625
1881,africa,838.8703703703703
1881,americas,1762.875
1881,asia,1262.7166666666667
1881,europe,2391.6458333333335
1882,africa,840.2407407407408
1882,americas,1813.925
1882,asia,1255.7166666666667
1882,europe,2413.4375
1883,africa,831.2777777777778
1883,americas,1851.45
1883,asia,1269.1
1883,europe,2450.5416666666665
1884,africa,831.4629629629629
1884,americas,1868.575
1884,asia,1276.3833333333334
1884,europe,2474.2708333333335
1885,africa,829.3518518518518
1885,americas,1897.1
1885,asia,1283.25
1885,europe,2499.75
1886,africa,839.8703703703703
1886,americas,1908.475
1886,asia,1282.4333333333334
1886,europe,2519.0208333333335
1887,africa,850.0185185185185
1887,americas,1910.05
1887,asia,1316.3166666666666
1887,europe,2592.6666666666665
1888,africa,860.574074074074
1888,americas,1963.35
1888,asia,1312.5166666666667
1888,europe,2612.2916666666665
1889,africa,864.3148148148148
1889,americas,1967.975
1889,asia,1322.5333333333333
1889,europe,2620.5416666666665
1890,africa,869.1111111111111
1890,americas,1958.25
1890,asia,1329.0666666666666
1890,europe,2662.8541666666665
1891,africa,875.8703703703703
1891,americas,1975.125
1891,asia,1327.7333333333333
1891,europe,2651.5
1892,africa,878.8518518518518
1892,americas,2002.625
1892,asia,1330.0833333333333
1892,europe,2707.4166666666665
1893,africa,882.8518518518518
1893,americas,2023.225
1893,asia,1340.2166666666667
1893,europe,2763.2916666666665
1894,africa,885.4814814814815
1894,americas,2054.8
1894,asia,1357.7833333333333
1894,europe,2837.9791666666665
1895,africa,898.9629629629629
1895,americas,2098.85
1895,asia,1350.9333333333334
1895,europe,2860.4791666666665
1896,africa,906.2037037037037
1896,americas,2110.275
1896,asia,1375.4333333333334
1896,europe,2927.5
1897,africa,906.3333333333334
1897,americas,2089.55
1897,asia,1382.3833333333334
1897,europe,2958.2083333333335
1898,africa,924.7222222222222
1898,americas,2112.1
